                                                                                     name                                                                                     |                                                                                               description                                                                                               | price |      brand      | stock_quantity |                                                                                                                    image_url                                                                                                                    |             category_id              |                  id                  |         created_at         |         updated_at         
 Kydra Botanique                                                                                                                                                              | Kydra Botanique is a high-quality product.                                                                                                                                                              | 42.61 | Brand-Kydra     |             75 | http://localhost:5000/SE/img/2cc80f1a-5e4d-48bc-88d3-8f5c94413160.Kydra_Botanique.jpeg                                                                                                                                                          | 8f401782-dd87-4590-9ccd-a5293d4a5b36 | 2cc80f1a-5e4d-48bc-88d3-8f5c94413160 | 2024-09-14 19:05:51.939851 | 2024-09-14 19:05:51.975608
 Leather Crossbody Bag                                                                                                                                                        | Leather Crossbody Bag is a high-quality product.                                                                                                                                                        | 75.75 | Brand-Leather   |             46 | http://localhost:5000/SE/img/849017f5-ea1b-409d-9247-5929ef3dd537.Leather_Crossbody_Bag.jpeg                                                                                                                                                    | 418fff8c-563f-4a1a-8a2a-6c623ceb75cc | 849017f5-ea1b-409d-9247-5929ef3dd537 | 2024-09-14 19:05:52.061999 | 2024-09-14 19:05:52.098591
 N24 REVIVING HAND CREAM                                                                                                                                                      | N24 REVIVING HAND CREAM is a high-quality product.                                                                                                                                                      | 85.17 | Brand-N24       |             49 | http://localhost:5000/SE/img/e2ab2cdf-1c2a-4961-95ef-f7ecb8bc82d1.N24_REVIVING_HAND_CREAM.jpeg                                                                                                                                                  | a1fd5987-ff57-4022-949f-bf9bc1f14e8a | e2ab2cdf-1c2a-4961-95ef-f7ecb8bc82d1 | 2024-09-14 19:05:52.206568 | 2024-09-14 19:05:52.330745
 Narciso - AMBREE                                                                                                                                                             | Narciso - AMBREE is a high-quality product.                                                                                                                                                             | 84.97 | Brand-Narciso   |             63 | http://localhost:5000/SE/img/4c6f0d00-3a5c-476c-a2fb-83333c00a685.Narciso_-_AMBREE.jpeg                                                                                                                                                         | a1fd5987-ff57-4022-949f-bf9bc1f14e8a | 4c6f0d00-3a5c-476c-a2fb-83333c00a685 | 2024-09-14 19:05:52.42558  | 2024-09-14 19:05:52.463946
 NikeLab Apparel                                                                                                                                                              | NikeLab Apparel is a high-quality product.                                                                                                                                                              |  36.3 | Brand-NikeLab   |             69 | http://localhost:5000/SE/img/a6f457c9-946e-4c1d-9a70-e43033f3b1ac.NikeLab_Apparel.jpeg                                                                                                                                                          | 6aeeabd2-f717-4f69-aa9d-389391aad671 | a6f457c9-946e-4c1d-9a70-e43033f3b1ac | 2024-09-14 19:05:52.538687 | 2024-09-14 19:05:52.576966
 Point Toe Heeled Pumps                                                                                                                                                       | Point Toe Heeled Pumps is a high-quality product.                                                                                                                                                       | 96.84 | Brand-Point     |             63 | http://localhost:5000/SE/img/64dd8996-6b2d-48ad-9237-d72d25f6a104.Point_Toe_Heeled_Pumps.jpeg                                                                                                                                                   | 56902750-1ecd-47d1-a72a-7f585e5af0c1 | 64dd8996-6b2d-48ad-9237-d72d25f6a104 | 2024-09-14 19:05:52.652931 | 2024-09-14 19:05:52.686659
 Rectangle Flat Gold Earrings                                                                                                                                                 | Rectangle Flat Gold Earrings is a high-quality product.                                                                                                                                                 | 98.38 | Brand-Rectangle |             48 | http://localhost:5000/SE/img/35143000-493a-452a-90ef-5020d26e7cd9.Rectangle_Flat_Gold_Earrings.jpeg                                                                                                                                             | 56902750-1ecd-47d1-a72a-7f585e5af0c1 | 35143000-493a-452a-90ef-5020d26e7cd9 | 2024-09-14 19:05:52.748235 | 2024-09-14 19:05:52.777735
 Red Etruria Ring                                                                                                                                                             | Red Etruria Ring is a high-quality product.                                                                                                                                                             | 16.97 | Brand-Red       |             50 | http://localhost:5000/SE/img/cddd7e16-f20e-48f7-8a4b-e763db04860a.Red_Etruria_Ring.jpeg                                                                                                                                                         | 8f401782-dd87-4590-9ccd-a5293d4a5b36 | cddd7e16-f20e-48f7-8a4b-e763db04860a | 2024-09-14 19:05:52.880777 | 2024-09-14 19:05:52.910301
 Red Tote Bag                                                                                                                                                                 | Red Tote Bag is a high-quality product.                                                                                                                                                                 | 63.02 | Brand-Red       |             40 | http://localhost:5000/SE/img/7b21a861-d7b3-4992-b89a-1ff757a69d21.Red_Tote_Bag.jpeg                                                                                                                                                             | 418fff8c-563f-4a1a-8a2a-6c623ceb75cc | 7b21a861-d7b3-4992-b89a-1ff757a69d21 | 2024-09-14 19:05:53.025949 | 2024-09-14 19:05:53.052961
 Sandalias                                                                                                                                                                    | Sandalias is a high-quality product.                                                                                                                                                                    | 72.49 | Brand-Sandalias |             55 | http://localhost:5000/SE/img/cc3c55e6-e1a3-480c-9bc8-ac0e57991696.Sandalias.jpeg                                                                                                                                                                | 56902750-1ecd-47d1-a72a-7f585e5af0c1 | cc3c55e6-e1a3-480c-9bc8-ac0e57991696 | 2024-09-14 19:05:53.125005 | 2024-09-14 19:05:53.153322
 Sweater ,knit                                                                                                                                                                | Sweater ,knit is a high-quality product.                                                                                                                                                                | 64.97 | Brand-Sweater   |             80 | http://localhost:5000/SE/img/9d8baf29-90c2-4424-a8d7-b70733692235.Sweater_knit.jpeg                                                                                                                                                             | 6aeeabd2-f717-4f69-aa9d-389391aad671 | 9d8baf29-90c2-4424-a8d7-b70733692235 | 2024-09-14 19:05:53.255295 | 2024-09-14 19:05:53.28669
 The Row                                                                                                                                                                      | The Row is a high-quality product.                                                                                                                                                                      | 69.66 | Brand-The       |             70 | http://localhost:5000/SE/img/0e040695-d76e-4e26-a305-5692e2bfd1d3.The_Row.jpeg                                                                                                                                                                  | 56902750-1ecd-47d1-a72a-7f585e5af0c1 | 0e040695-d76e-4e26-a305-5692e2bfd1d3 | 2024-09-14 19:05:53.362237 | 2024-09-14 19:05:53.398137
 Vestido De Mujer                                                                                                                                                             | Vestido De Mujer is a high-quality product.                                                                                                                                                             | 24.26 | Brand-Vestido   |             86 | http://localhost:5000/SE/img/8047dfed-a11d-42b2-9208-2ffe716af22e.Vestido_De_Mujer.jpeg                                                                                                                                                         | a1fd5987-ff57-4022-949f-bf9bc1f14e8a | 8047dfed-a11d-42b2-9208-2ffe716af22e | 2024-09-14 19:05:53.486889 | 2024-09-14 19:05:53.520594
 Water Wearable Gold Hoops                                                                                                                                                    | Water Wearable Gold Hoops is a high-quality product.                                                                                                                                                    | 60.16 | Brand-Water     |             15 | http://localhost:5000/SE/img/fc735fa6-2e9a-4057-b120-f9d0e9fd6a85.Water_Wearable_Gold_Hoops.jpeg                                                                                                                                                | 6aeeabd2-f717-4f69-aa9d-389391aad671 | fc735fa6-2e9a-4057-b120-f9d0e9fd6a85 | 2024-09-14 19:05:53.66067  | 2024-09-14 19:05:53.699074
 White sandals                                                                                                                                                                | White sandals is a high-quality product.                                                                                                                                                                | 85.86 | Brand-White     |              2 | http://localhost:5000/SE/img/1799bbf5-3644-4715-b546-6d023bdbc594.White_sandals.jpeg                                                                                                                                                            | 56902750-1ecd-47d1-a72a-7f585e5af0c1 | 1799bbf5-3644-4715-b546-6d023bdbc594 | 2024-09-14 19:05:53.767929 | 2024-09-14 19:05:53.798476
 Woven Tote Bag                                                                                                                                                               | Woven Tote Bag is a high-quality product.                                                                                                                                                               | 63.92 | Brand-Woven     |             92 | http://localhost:5000/SE/img/80301e01-da59-46f7-b1e1-62058886c030.Woven_Tote_Bag.jpeg                                                                                                                                                           | 7288085d-42e2-49b5-9257-2ad0039a36a4 | 80301e01-da59-46f7-b1e1-62058886c030 | 2024-09-14 19:05:53.847581 | 2024-09-14 19:05:53.876446
 Xabono Aesthetic Candles - Vibrant Bubble Candle, White Candle Perfect for Women and Girls Who Appreciate Cute Decor - Pack of Bubble Candles, Vanilla Candle (2Pcs - White) | Xabono Aesthetic Candles - Vibrant Bubble Candle, White Candle Perfect for Women and Girls Who Appreciate Cute Decor - Pack of Bubble Candles, Vanilla Candle (2Pcs - White) is a high-quality product. | 96.64 | Brand-Xabono    |             23 | http://localhost:5000/SE/img/2f4c36a9-6b9b-4437-8366-c471aa10bcf7.Xabono_Aesthetic_Candles_-_Vibrant_Bubble_Candle_White_Candle_Perfect_for_Women_and_Girls_Who_Appreciate_Cute_Decor_-_Pack_of_Bubble_Candles_Vanilla_Candle_2Pcs_-_White.jpeg | 418fff8c-563f-4a1a-8a2a-6c623ceb75cc | 2f4c36a9-6b9b-4437-8366-c471aa10bcf7 | 2024-09-14 19:05:53.935923 | 2024-09-14 19:05:53.978007
(26 rows)

